#station,latitude,longitude,elevevation
AB01,52.2095027786745,-174.204757778667,25.4839892299415
AB02,52.9706039552972,-168.854671492332,192.803422905288
AB04,63.6568628052471,-170.567443389811,136.547209727031
AB06,54.8853207889979,-163.423455258503,500.432691886664
AB07,55.349275064562,-160.476759561504,89.5715022778217
AB08,60.3848302998904,-166.200856831595,26.5100594056714
AB09,65.6149796385751,-168.062125358685,162.069978997451
AB11,64.5644945327641,-165.373458754461,349.426220907546
AB12,58.9507941515023,-161.746263678255,587.093774088543
AB13,56.3073255151047,-158.503796607275,487.821158404444
AB14,59.1081647090329,-159.091532615436,657.639214978615
AB15,61.0397512088791,-159.878361841717,560.32985601747
AB17,63.8863576984594,-160.694731407316,117.433012015569
AB18,66.8583616409422,-162.613508053705,37.1064435849136
AB21,51.8641491382811,-176.662649205674,59.4081567953647
AB22,59.899318170954,-154.698259155639,199.844787913565
AB25,62.9293087145294,-156.023391515602,961.048566521078
AB27,67.0558845507232,-156.904890183728,508.095050572921
AB28,62.0938132567839,-152.814918716712,1582.73756476869
AB33,67.2510108100061,-150.172545260083,334.768112591703
AB35,60.0790681272447,-142.389877387135,536.87102250266
AB36,65.0303966784583,-150.743985181213,816.539179401437
AB37,62.9673224394157,-145.451883152187,1136.65376598889
AB39,66.5593446554657,-145.212632382596,147.668598874538
AB41,64.7773245830326,-141.158068400168,285.953847512588
AB42,59.3403774983706,-138.89881792394,773.552325261625
AB43,58.1988419812243,-136.640811099493,27.1785188093537
AB44,59.5280382119922,-135.228299578951,304.389973649717
AB45,68.7604932508066,-148.871153088437,507.016912245268
AB46,68.1206701755953,-145.567902815172,647.877099187124
AB48,56.2450605152424,-134.646999690942,5.33397164696148
AB49,55.5801007985681,-133.068487899745,17.5437829392568
AB50,58.4167743749189,-134.545303086321,51.7806020901076
AB51,56.7976218811858,-132.913563411207,76.0083219445456
AB53,56.5847551576055,-132.867248149573,1016.29477843433
ABBZ,-77.456879,166.908938,1734.2656
ABVI,18.7296844578808,-64.3324846927356,-35.588804372332
AC02,56.9505864348168,-154.183048525829,126.876773440448
AC03,59.7706358341608,-151.86453400569,19.7302297200544
AC06,59.7636362833214,-150.890560307312,631.532929135072
AC07,65.96129136627,-161.286616500471,176.309279124471
AC08,58.928773587589,-153.644701153642,644.250704318162
AC09,59.8684795090631,-144.523852498018,368.919337240869
AC10,54.5225805622449,-164.886729682233,170.500607576186
AC11,61.8070785120394,-148.331752219957,790.938000463201
AC12,54.8309627797048,-159.589563877901,84.392985051423
AC13,55.8218984274737,-155.622404155515,222.701707767997
AC14,60.8487031591485,-147.999585219398,748.740925083312
AC15,60.4813329194356,-149.724010078961,151.54145743159
AC16,60.518206842967,-148.09323871992,34.0649327010433
AC17,60.663900373349,-152.403846882649,882.692795327406
AC18,58.925956500872,-152.249532335901,214.796563871106
AC19,62.5192119056794,-153.607333729306,546.529492644167
AC20,60.9292073981339,-149.352506971766,43.7660116696105
AC21,55.92108932422,-159.1277247491,170.937715384408
AC23,60.4750914831295,-150.877955663591,80.8767729148024
AC24,58.6815712918874,-156.652756249182,36.3646834410708
AC25,55.0889667122874,-162.314053769833,584.276663102859
AC26,58.2145543153491,-154.150293383028,190.179462176269
AC27,59.2525048377766,-154.162881600322,417.520845568295
AC28,55.0784901686092,-160.049162476352,365.102602275264
AC29,59.4295889176629,-146.339978249547,56.5851258889256
AC31,64.6379743282489,-162.239126541518,228.32778246404
AC32,61.4731192307386,-150.736918390681,1347.7698248938
AC33,62.6711762473816,-150.68507598412,1521.16281770908
AC34,57.2200272546063,-153.279181856343,103.272665368099
AC35,59.3758106502225,-150.793247653409,408.569335297648
AC36,60.9553160245173,-150.608349733692,46.5217205116422
AC37,60.4396853812072,-153.865383548507,1626.60897695738
AC38,57.7536845336911,-153.341875066774,43.8863930668449
AC39,58.6097178654336,-152.394074582632,157.246226022349
AC40,56.9303515584704,-158.618572818598,39.9068821869823
AC41,55.9086677009448,-160.407306735708,407.748834752397
AC42,54.4717752933564,-162.783652639479,257.913399719546
AC43,59.5212813481875,-149.628739100013,69.5718108273256
AC44,61.242172448168,-149.567127983538,832.184257185894
AC45,56.5644549407499,-154.180965433049,451.04100998503
AC46,61.9862673134776,-151.524002894831,619.79022316956
